index,Date,TransactionCount
603,25082017,2056049
604,26082017,1948647
605,27082017,1694814
606,28082017,1603649
607,29082017,1606345
608,30082017,1762836
609,31082017,1893422
610,1092017,2229399
611,2092017,2141006
612,3092017,1779900
613,4092017,1504298
614,5092017,1806114
615,6092017,1690604
616,7092017,1679227
617,8092017,2059410
618,9092017,1824455
619,10092017,1428964
620,11092017,1522910
621,12092017,1574645
622,13092017,1798405
623,14092017,1959901
624,15092017,1954621
625,16092017,1979443
626,17092017,1636454
627,18092017,1752275
628,19092017,1618578
629,20092017,1767174
630,21092017,1949287
631,22092017,2102136
632,23092017,2054037
633,24092017,1787441
634,25092017,1692608
635,26092017,1697756
636,27092017,1981430
637,28092017,2013012
638,29092017,2136228
639,30092017,2287976
640,1102017,1718088
641,2102017,1680341
642,3102017,1755134
643,4102017,1826578
644,5102017,1892557
645,6102017,2058316
646,7102017,1992808
647,8102017,1745658
648,9102017,1626497
649,10102017,1657810
650,11102017,1815908
651,12102017,1771832
652,13102017,2084727
653,14102017,1970992
654,15102017,1714467
655,16102017,1783753
656,17102017,1736325
657,18102017,1754005
658,19102017,1845266
659,20102017,2134384
660,21102017,2078227
661,22102017,1717857
662,23102017,1738320
663,24102017,1806712
664,25102017,1816425
665,26102017,1892397
666,27102017,2256420
667,28102017,2106344
668,29102017,1788883
669,30102017,1822517
670,31102017,2012353
671,1112017,2045848
672,2112017,2161715
673,3112017,2209411
674,4112017,2051273
675,5112017,1815145
676,6112017,1987002
677,7112017,1837435
678,8112017,1877066
679,9112017,1964680
680,10112017,2295768
681,11112017,2112173
682,12112017,1691722
683,13112017,1887678
684,14112017,1901697
685,15112017,2003623
686,16112017,2396021
687,17112017,2386231
688,18112017,2298580
689,19112017,1991163
690,20112017,2384256
691,21112017,2541209
692,22112017,2788796
693,23112017,2004183
694,24112017,3463104
695,25112017,2786075
696,26112017,2333476
697,27112017,2806269
698,28112017,2712915
699,29112017,2792641
700,30112017,2968003
701,1122017,3360352
702,2122017,3331445
703,3122017,2899443
704,4122017,3281148
705,5122017,3252502
706,6122017,3678143
707,7122017,3633704
708,8122017,4190314
709,9122017,4469009
710,10122017,4001497
711,11122017,4667355
712,12122017,4863052
713,13122017,4805817
714,14122017,5177119
715,15122017,6151888
716,16122017,7211472
717,17122017,6400944
718,18122017,7201337
719,19122017,7815832
720,20122017,8888688
721,21122017,9608849
722,22122017,11952920
723,23122017,13714689
724,24122017,10148352
725,25122017,2519000
726,26122017,4057972
727,27122017,4138430
728,28122017,3794196
729,29122017,3814061
730,30122017,3475384
731,31122017,3087252
732,1012018,2252363
733,2012018,2709657
734,3012018,2878763
735,4012018,2559530
736,5012018,2829715
737,6012018,2791264
738,7012018,2403410
739,8012018,2249247
740,9012018,2137858
741,10012018,2179655
742,11012018,2207098
743,12012018,2460961
744,13012018,2265757
745,14012018,2028130
746,15012018,2177512
747,16012018,2020627
748,17012018,1959072
749,18012018,2079056
750,19012018,2291384
751,20012018,2430916
752,21012018,1945223
753,22012018,1959659
754,23012018,1920751
755,24012018,2108792
756,25012018,2077342
757,26012018,2464139
758,27012018,2420939
759,28012018,2154343
760,29012018,1836420
761,30012018,2117978
762,31012018,2265698
763,1022018,2254669
764,2022018,2544658
765,3022018,2497589
766,4022018,1973183
767,5022018,1892966
768,6022018,2234943
769,7022018,2216829
770,8022018,2285872
771,9022018,2727917
772,10022018,2889866
773,11022018,2240297
774,12022018,2241416
775,13022018,3025699
776,14022018,2913106
777,15022018,2099812
778,16022018,2238243
779,17022018,2205081
780,18022018,1856533
781,19022018,1859689
782,20022018,1924167
783,21022018,1951068
784,22022018,2193912
785,23022018,2347918
786,24022018,2248508
787,25022018,2029186
788,26022018,1922273
789,27022018,2261902
790,28022018,2484814
791,1032018,3211828
792,2032018,2407103
793,3032018,2761985
794,4032018,2155461
795,5032018,1890713
796,6032018,2096567
797,7032018,2000341
798,8032018,2089417
799,9032018,2394438
800,10032018,2837956
801,11032018,1866955
802,12032018,1869230
803,13032018,1909554
804,14032018,1941269
805,15032018,2091803
806,16032018,2773852
807,17032018,2336267
808,18032018,1981636
809,19032018,1931311
810,20032018,1913510
811,21032018,1911176
812,22032018,2259856
813,23032018,2430910
814,24032018,2391009
815,25032018,2065385
816,26032018,2112521
817,27032018,2278689
818,28032018,2433157
819,29032018,2978504
820,30032018,3042291
821,31032018,3826983
822,1042018,1763210
823,2042018,2020354
824,3042018,2001256
825,4042018,2052554
826,5042018,2024358
827,6042018,2301001
828,7042018,2154013
829,8042018,1820249
830,9042018,1835793
831,10042018,1940598
832,11042018,2057859
833,12042018,1996503
834,13042018,2203406
835,14042018,2116310
836,15042018,1782072
837,16042018,1806937
838,17042018,1852725
839,18042018,1971777
840,19042018,2247528
841,20042018,2324455
842,21042018,2338699
843,22042018,1966158
844,23042018,1889413
845,24042018,2032358
846,25042018,2095878
847,26042018,2129268
848,27042018,2323007
849,28042018,2346103
850,29042018,2031331
851,30042018,2210877
852,1052018,2499836
853,2052018,2311642
854,3052018,2228269
855,4052018,2491629
856,5052018,2461533
857,6052018,2180928
858,7052018,2237715
859,8052018,2389290
860,9052018,2766590
861,10052018,2548424
862,11052018,3005452
863,12052018,3524873
864,13052018,2701437
865,14052018,1907993
866,15052018,2050061
867,16052018,2062328
868,17052018,2369911
869,18052018,2355684
870,19052018,2351689
871,20052018,1950792
872,21052018,1990040
873,22052018,2052803
874,23052018,2466864
875,24052018,2382903
876,25052018,2503402
877,26052018,2324182
878,27052018,1918102
879,28052018,1866277
880,29052018,2018298
881,30052018,2096651
882,31052018,2258417
883,1062018,2936939
884,2062018,2401745
885,3062018,1959644
886,4062018,2033093
887,5062018,2150056
888,6062018,2402392
889,7062018,2345600
890,8062018,2466137
891,9062018,2486326
892,10062018,2053075
893,11062018,2201245
894,12062018,2314123
895,13062018,2483845
896,14062018,2966250
897,15062018,3025670
898,16062018,3567171
899,17062018,2830130
900,18062018,2096730
901,19062018,2139798
902,20062018,2232709
903,21062018,2358654
904,22062018,2406555
905,23062018,2340207
906,24062018,1908313
907,25062018,1969291
908,26062018,2062073
909,27062018,2246617
910,28062018,2209707
911,29062018,2593536
912,30062018,2345643
913,1072018,1816812
914,2072018,1870796
915,3072018,2100490
916,4072018,1752217
917,5072018,1986862
918,6072018,2336979
919,7072018,2147502
920,8072018,1787333
921,9072018,1888234
922,10072018,1964257
923,11072018,2145996
924,12072018,2188969
925,13072018,2442074
926,14072018,2171837
927,15072018,1707227
928,16072018,2018411
929,17072018,2128080
930,18072018,2010684
931,19072018,2197057
932,20072018,2329795
933,21072018,2230809
934,22072018,2038390
935,23072018,1881807
936,24072018,1878605
937,25072018,2026714
938,26072018,2099344
939,27072018,2184490
940,28072018,2165404
941,29072018,1830806
942,30072018,1974069
943,31072018,2164705
944,1082018,2098226
945,2082018,2060031
946,3082018,2379211
947,4082018,2240709
948,5082018,1906493
949,6082018,1942109
950,7082018,2028620
951,8082018,2078565
952,9082018,2127226
953,10082018,2409232
954,11082018,2230679
955,12082018,1865829
956,13082018,2064132
957,14082018,2249267
958,15082018,2031333
959,16082018,2296338
960,17082018,2343071
961,18082018,2246587
962,19082018,1916745
963,20082018,1898217
964,21082018,1821441
965,22082018,1970972
966,23082018,2297528
967,24082018,2305170
968,25082018,2229171
969,26082018,1877403
970,27082018,1913331
971,28082018,2148681
972,29082018,2013384
973,30082018,2092186
974,31082018,2698763
975,1092018,2416339
976,2092018,1896259
977,3092018,1921650
978,4092018,1828854
979,5092018,1908888
980,6092018,2019373
981,7092018,2148336
982,8092018,2208392
983,9092018,1761826
984,10092018,1887941
985,11092018,1939339
986,12092018,1921816
987,13092018,2018605
988,14092018,2326344
989,15092018,2294180
990,16092018,1773888
991,17092018,1894824
992,18092018,1934280
993,19092018,1962840
994,20092018,2169128
995,21092018,2355478
996,22092018,2363658
997,23092018,1920258
998,24092018,1933827
999,25092018,2010322
1000,26092018,2074818
1001,27092018,2501948
1002,28092018,2560962
1003,29092018,2651586
1004,30092018,2055683
1005,1102018,2101219
1006,2102018,1983480
1007,3102018,2072670
1008,4102018,2155492
1009,5102018,2490394
1010,6102018,2427765
1011,7102018,1961472
1012,8102018,1948761
1013,9102018,1947968
1014,10102018,2269944
1015,11102018,2190886
1016,12102018,2415690
1017,13102018,2426897
1018,14102018,1912097
1019,15102018,2066120
1020,16102018,2120636
1021,17102018,2054756
1022,18102018,2061972
1023,19102018,2512882
1024,20102018,2412159
1025,21102018,1997508
1026,22102018,1955604
1027,23102018,2029738
1028,24102018,2103731
1029,25102018,2151355
1030,26102018,2325914
1031,27102018,2482278
1032,28102018,1802401
1033,29102018,2020017
1034,30102018,2121018
1035,31102018,2142687
1036,1112018,2165987
1037,2112018,2659290
1038,3112018,2581360
1039,4112018,2229446
1040,5112018,2086801
1041,6112018,1973148
1042,7112018,1950308
1043,8112018,2324171
1044,9112018,2473355
1045,10112018,2626661
1046,11112018,1953138
1047,12112018,2098383
1048,13112018,2180171
1049,14112018,2421656
1050,15112018,2457738
1051,16112018,2659871
1052,17112018,2806963
